Nome do Repositorio;Data de Criacao;Data de Atualizacao;Linguagem Primaria;Total de Releases;Pull Requests Aceitos;Total de Issues;Issues Fechadas
angular/angular;2014-09-18T16:12:01Z;2026-03-05T22:31:24Z;TypeScript;610;5680;30373;29376
Shubhamsaboo/awesome-llm-apps;2024-04-29T05:30:25Z;2026-03-05T22:22:24Z;Python;0;170;119;119
jaywcjlove/awesome-mac;2016-07-17T15:33:47Z;2026-03-05T22:07:53Z;JavaScript;13;1081;513;378
supabase/supabase;2019-10-12T05:56:49Z;2026-03-05T22:25:55Z;TypeScript;26;15580;5240;4973
Anduin2017/HowToCook;2020-02-29T10:43:49Z;2026-03-05T17:52:52Z;Dockerfile;4;614;827;364
mtdvio/every-programmer-should-know;2017-08-24T13:18:26Z;2026-03-05T20:33:21Z;N/A;0;110;45;31
mui/material-ui;2014-08-18T19:11:54Z;2026-03-05T20:06:31Z;JavaScript;558;21490;20348;18753
pytorch/pytorch;2016-08-13T05:26:41Z;2026-03-05T22:30:43Z;Python;64;6428;57142;41041
2dust/v2rayN;2019-07-30T03:47:24Z;2026-03-05T22:19:58Z;C#;300;395;6598;6592
ant-design/ant-design;2015-04-24T15:37:24Z;2026-03-05T22:24:02Z;TypeScript;740;17062;32407;31120
neovim/neovim;2014-01-31T13:39:22Z;2026-03-05T22:29:19Z;Vim Script;48;17730;13750;12106
ggml-org/llama.cpp;2023-03-10T18:58:00Z;2026-03-05T22:23:18Z;C++;1000;7478;7128;6687
google-gemini/gemini-cli;2025-04-17T17:04:31Z;2026-03-05T22:28:02Z;TypeScript;393;5279;10765;8688
fastapi/fastapi;2018-12-08T08:21:47Z;2026-03-05T22:09:54Z;Python;269;3171;3506;3495
nvbn/thefuck;2015-04-08T15:08:04Z;2026-03-05T22:18:00Z;Python;17;481;774;477
openai/whisper;2022-09-16T20:02:54Z;2026-03-05T21:51:01Z;Python;13;119;0;0
microsoft/Web-Dev-For-Beginners;2020-11-10T02:44:00Z;2026-03-05T22:29:44Z;JavaScript;0;654;422;362
ryanmcdermott/clean-code-javascript;2016-11-25T22:25:41Z;2026-03-05T15:39:43Z;JavaScript;0;149;245;165
immich-app/immich;2022-02-03T15:56:27Z;2026-03-05T22:30:59Z;TypeScript;287;8731;8007;7492
tailwindlabs/tailwindcss;2017-10-06T14:59:14Z;2026-03-05T21:37:05Z;TypeScript;300;3302;4771;4720
iluwatar/java-design-patterns;2014-08-09T16:45:18Z;2026-03-05T16:56:48Z;Java;0;1520;978;839
puppeteer/puppeteer;2017-05-09T22:16:13Z;2026-03-05T20:02:12Z;TypeScript;646;5836;7323;7065
nvm-sh/nvm;2010-04-15T17:47:47Z;2026-03-05T21:29:09Z;Shell;71;741;2393;2062
deepseek-ai/DeepSeek-R1;2025-01-20T11:57:28Z;2026-03-05T21:07:38Z;N/A;1;10;691;664
florinpop17/app-ideas;2019-02-25T18:36:56Z;2026-03-05T22:09:10Z;N/A;0;151;196;51
PanJiaChen/vue-element-admin;2017-04-17T03:35:49Z;2026-03-05T17:47:48Z;Vue;49;311;3613;2356
microsoft/markitdown;2024-11-13T19:56:40Z;2026-03-05T22:06:29Z;Python;18;170;386;84
storybookjs/storybook;2016-03-18T04:23:44Z;2026-03-05T19:18:16Z;TypeScript;1000;12276;14155;12042
firecrawl/firecrawl;2024-04-15T21:02:29Z;2026-03-05T22:29:51Z;TypeScript;32;1360;824;779
bitcoin/bitcoin;2010-12-19T15:16:43Z;2026-03-05T21:39:04Z;C++;63;16168;9013;8651
gin-gonic/gin;2014-06-16T23:57:25Z;2026-03-05T21:06:01Z;Go;29;1224;2382;1786
oven-sh/bun;2021-04-14T00:48:17Z;2026-03-05T22:16:14Z;Zig;210;7177;15761;10920
ChatGPTNextWeb/NextChat;2023-03-10T18:27:54Z;2026-03-05T22:25:50Z;TypeScript;77;894;3582;2899
rasbt/LLMs-from-scratch;2023-07-23T18:15:57Z;2026-03-05T22:26:14Z;Jupyter Notebook;0;481;218;218
django/django;2012-04-28T02:47:18Z;2026-03-05T20:46:09Z;Python;0;10323;0;0
gohugoio/hugo;2013-07-04T15:26:26Z;2026-03-05T21:41:45Z;Go;365;3239;8033;7792
mermaid-js/mermaid;2014-11-01T23:52:32Z;2026-03-05T22:16:25Z;TypeScript;179;2585;3577;2210
opencv/opencv;2012-07-19T09:40:17Z;2026-03-05T20:13:30Z;C++;67;13504;11435;8866
sveltejs/svelte;2016-11-20T18:13:05Z;2026-03-05T20:45:45Z;JavaScript;606;6518;8925;8009
ruanyf/weekly;2018-10-13T12:36:07Z;2026-03-05T20:44:04Z;N/A;0;105;8486;1286
home-assistant/core;2013-09-17T07:29:48Z;2026-03-05T21:18:27Z;Python;1000;82560;68273;65360
3b1b/manim;2015-03-22T18:50:58Z;2026-03-05T22:27:14Z;Python;13;661;1223;765
anthropics/skills;2025-09-22T15:53:31Z;2026-03-05T22:28:37Z;Python;0;21;147;21
microsoft/ML-For-Beginners;2021-03-03T01:34:05Z;2026-03-05T20:39:12Z;Jupyter Notebook;0;446;158;158
laravel/laravel;2011-06-08T03:06:08Z;2026-03-05T21:46:24Z;Blade;211;1670;0;0
louislam/uptime-kuma;2021-07-03T01:02:42Z;2026-03-05T22:13:44Z;JavaScript;125;1684;4643;3981
microsoft/playwright;2019-11-15T18:32:42Z;2026-03-05T22:12:21Z;TypeScript;158;16276;17097;16506
MunGell/awesome-for-beginners;2015-10-24T19:53:36Z;2026-03-05T22:29:23Z;N/A;0;469;204;188
macrozheng/mall;2018-04-04T01:11:44Z;2026-03-05T15:49:13Z;Java;3;1;499;489
realworld-apps/realworld;2016-02-26T20:49:53Z;2026-03-05T22:31:13Z;TypeScript;0;434;545;511
